lat,long,location,count
42.24249788,-71.12326854,(42.24249788 -71.12326854),52
42.24254061,-71.1400822,(42.24254061 -71.14008220),1
42.24258678,-71.1432907,(42.24258678 -71.14329070),1
42.24258901,-71.13375508,(42.24258901 -71.13375508),11
42.24260011,-71.13035022,(42.24260011 -71.13035022),106
42.24261098,-71.13818408,(42.24261098 -71.13818408),20
42.2426379,-71.13312062,(42.24263790 -71.13312062),2
42.24268434,-71.12623349,(42.24268434 -71.12623349),3
42.24268556,-71.13476616,(42.24268556 -71.13476616),7
42.24273006,-71.13235742,(42.24273006 -71.13235742),1
42.24277354,-71.12582786,(42.24277354 -71.12582786),1
42.24283958,-71.13775752,(42.24283958 -71.13775752),12
42.24285984,-71.12489906,(42.24285984 -71.12489906),3
42.24288459,-71.12255206,(42.24288459 -71.12255206),24
42.24289757,-71.14014363,(42.24289757 -71.14014363),1
42.24293234,-71.14374052,(42.24293234 -71.14374052),5
42.24296864,-71.12547818,(42.24296864 -71.12547818),2
42.24299094,-71.13712354,(42.24299094 -71.13712354),2
42.24302939,-71.14340449,(42.24302939 -71.14340449),5
42.24304206,-71.14334024,(42.24304206 -71.14334024),1
42.24305474,-71.14327599,(42.24305474 -71.14327599),2
42.24309004,-71.12525818,(42.24309004 -71.12525818),2
42.24312269,-71.12060719,(42.24312269 -71.12060719),4
42.24313318,-71.13838805,(42.24313318 -71.13838805),4
42.24316302,-71.14175229,(42.24316302 -71.14175229),43
42.24316898,-71.13409893,(42.24316898 -71.13409893),52
42.24325248,-71.14022542,(42.24325248 -71.14022542),3
42.24326802,-71.13767524,(42.24326802 -71.13767524),3
42.24337799,-71.13306179,(42.24337799 -71.13306179),14
42.24341777,-71.13780891,(42.24341777 -71.13780891),1
42.24353174,-71.1392187,(42.24353174 -71.13921870),49
42.24358793,-71.12436818,(42.24358793 -71.12436818),3
42.24361883,-71.11989255,(42.24361883 -71.11989255),115
42.24367545,-71.12265766,(42.24367545 -71.12265766),2
42.24369812,-71.13805914,(42.24369812 -71.13805914),5
42.24370859,-71.13721867,(42.24370859 -71.13721867),4
42.24378744,-71.12401291,(42.24378744 -71.12401291),5
42.24380669,-71.14374305,(42.24380669 -71.14374305),13
42.24383959,-71.12160124,(42.24383959 -71.12160124),68
42.24384188,-71.13385326,(42.24384188 -71.13385326),5
42.24397847,-71.13830937,(42.24397847 -71.13830937),6
42.24398694,-71.12365763,(42.24398694 -71.12365763),2
42.24399503,-71.11903945,(42.24399503 -71.11903945),1
42.24410679,-71.11786345,(42.24410679 -71.11786345),63
42.24411073,-71.12343785,(42.24411073 -71.12343785),5
42.24420229,-71.13621619,(42.24420229 -71.13621619),4
42.24422964,-71.13251945,(42.24422964 -71.13251945),42
42.24429944,-71.13368676,(42.24429944 -71.13368676),2
42.2444067,-71.12621017,(42.24440670 -71.12621017),7
42.2444072,-71.13501786,(42.24440720 -71.13501786),1
42.24440779,-71.1229151,(42.24440779 -71.12291510),2
42.24442833,-71.11669183,(42.24442833 -71.11669183),7
42.24448261,-71.1189921,(42.24448261 -71.11899210),80
42.2445177,-71.13722687,(42.24451770 -71.13722687),15
42.2445394,-71.1226753,(42.24453940 -71.12267530),4
42.24467102,-71.12243549,(42.24467102 -71.12243549),1
42.24475716,-71.11703395,(42.24475716 -71.11703395),4
