Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
Maria's Taqueria,BOSTON,1,1.666666667,3,2,1.6,1.821428571
Cafe 939,BOSTON,1.571428571,2,3,1.333333333,,1.821428571
The Halal Guys,BOSTON,,,1.857142857,1.8,,1.820512821
Pier 6 Restaurant,CHARLESTOWN,1.714285714,1.666666667,1.888888889,1.769230769,2.333333333,1.819672131
Itadaki,BOSTON,1.96,1.666666667,1.533333333,2.111111111,,1.819672131
Harvard Gardens,BOSTON,1.6,2,1.4,1.956521739,,1.819277108
Momogoose 4,BOSTON,2.210526316,1.833333333,1.428571429,1.717948718,1.666666667,1.818181818
Il Molo,BOSTON,,3,1.5,1.666666667,0,1.818181818
Grainmaker,BOSTON,,,0,2,,1.818181818
Internacional Grocery Store Inc.,ROSLINDALE,2.285714286,2,0,1.428571429,,1.818181818
Anna's Cafe,CHARLESTOWN,,,2,2,0,1.818181818
Boston News Cafe,BOSTON,3,1.428571429,2.4,1.714285714,0,1.818181818
Chatime,BOSTON,1.689655172,1.576923077,1.5,2.058823529,2.263157895,1.815384615
FLIK INTERNATIONAL,BOSTON,2,0.5,2,1.888888889,,1.814814815
MY COUSIN'S PLACE,BOSTON,1.824561404,1,1,1.857142857,2.2,1.8125
Subway & Auntie Anne's,BOSTON,2.666666667,2,2,1,1,1.810810811
Pizza Cucinova,EAST BOSTON,1,1.833333333,1.5,2.428571429,,1.80952381
MILLENNIUM STORE II INC,DORCHESTER,2,1.666666667,1,1.818181818,,1.808510638
BM3:BON ME RED,BOSTON,1.6,1,2.333333333,1.769230769,,1.807692308
SCOLA'S CAFE,BOSTON,1.5,2.333333333,1.685714286,2.285714286,,1.804878049
Dana Farber Cancer Institute Cafeteria,BOSTON,1.8,1.714285714,1.6,2,,1.804878049
SORELLE CITY SQUARE,CHARLESTOWN,1.692307692,1.333333333,2,2.5,,1.803921569
Rosario Grocery,DORCHESTER,1.523809524,1.75,1.923076923,1.8,,1.802197802
ARIS BARBEQUE,BOSTON,0,1.833333333,2.142857143,1.611111111,,1.801886792
Sweet Tomatoes Pizza,BOSTON,1.8,1,3,1.75,,1.8
Tuscan Kitchen,BOSTON,,,1,2.125,1.666666667,1.8
Tasty Pot,ALLSTON,,,,1.8,1.8,1.8
The Fourth Wall,BOSTON,,,,,1.8,1.8
One Energy Inc.,WEST ROXBURY,3,3,0,0,,1.8
Noodle Lab,BOSTON,1,0,1.5,2.333333333,,1.8
Savvor Restaurant & Lounge,BOSTON,,1.8,,,,1.8
Pikalox,JAMAICA PLAIN,,,,1.8,,1.8
Lu Fu Zi,ALLSTON,,1,2,2,,1.8
J'S CAFE @BOS. W & S,ROXBURY,2,1.454545455,2.285714286,1.666666667,1.5,1.8
DUNKIN' DONUTS/WATERMARK,BOSTON,,3,1,1,,1.8
Boston Burger,BOSTON,1,2,2.333333333,1.727272727,,1.8
Caffe Strega,BOSTON,1.608695652,1.625,2.185185185,1.6,,1.795180723
Museum of Fine Arts New American Cafe,BOSTON,2,2.333333333,0.666666667,1.5,,1.793103448
IQ Cooking Company,BOSTON,,,0,1.857142857,,1.793103448
Molly's Farmhouse Coffee,SOUTH BOSTON,,,0,1.888888889,,1.789473684
Golden Goose Cafe,BOSTON,,,2,1.428571429,,1.789473684
Antoinette Variety Store,MATTAPAN,3,1.592592593,2,1.592592593,,1.785714286
Channel Center Cafe,BOSTON,1,0.666666667,0,2.666666667,3,1.785714286
AK's Takeout,SOUTH BOSTON,,,1.421052632,1.866666667,2,1.785714286
GIDDY UP GRILL,BOSTON,2.083333333,1,1,0.875,,1.784615385
Pho Basil,BOSTON,2.333333333,2,1.956521739,1.407407407,,1.783216783
PADDY O'S,BOSTON,1.5,2,2,1.6,,1.777777778
Legal Fish Bowl,BOSTON,,,,2,0,1.777777778
Gogi On The Block No. 2,BOSTON,,,,1.777777778,,1.777777778
Irashai Sushi and Teriyaki,BOSTON,2.714285714,1.25,0,0,,1.777777778
Cafeteria Y Pizzeria Mi Colombia,EAST BOSTON,,,0,2,,1.777777778
Berezka International Food Store,ALLSTON,0,1,1,2.133333333,1.8,1.774193548
The Liberty Hotel,BOSTON,2,1.666666667,1.888888889,1.555555556,,1.773333333
CUPPACOFFEE,BOSTON,1,2,2,1.769230769,1.666666667,1.772727273
CANTINA ITALIANA,BOSTON,0,2,2,1.666666667,,1.772727273
J P Convenience Store,JAMAICA PLAIN,0.8,1,2.333333333,1.666666667,2.333333333,1.766666667
Harpoon Tap Room,EAST BOSTON,2,1.8,1.761904762,1,,1.765957447
Cathedral Station,ROXBURY,,0.666666667,1.8,2.5,,1.764705882
Mi Pueblito Orient Heights,EAST BOSTON,0,1.7,2,2,1,1.763157895
Emmanuel College (Muddy River Cafe),BOSTON,2.142857143,2,1.5,1.7,,1.763157895
Prime Shoppe,BOSTON,1.5,2,1.941176471,1.222222222,,1.761904762
75 On Liberty Wharf,BOSTON,1,1.761904762,1.565217391,2.117647059,,1.761904762
Pagliuca's Restaurant,BOSTON,1.75,1.75,1.411764706,2.1,1.666666667,1.76119403
Pueblo Viejo,EAST BOSTON,0,1.96,1.8,1.4,,1.760869565
Farmer Horse Coffee,BOSTON,,1,1.7,2.214285714,1.230769231,1.75862069
Boston Burger Company,BOSTON,1.533333333,2,2.2,1,,1.75862069
Dudley Cafe,ROXBURY,1.5,1.465116279,1.636363636,2.2,2.6,1.757281553
Berklee College of Music,BOSTON,1.4,2.142857143,2.285714286,1.857142857,1.585365854,1.757281553
Ducali Pizzeria & Bar,BOSTON,1,2,1.428571429,2,1.75,1.756097561
Rod Dee 2 Thai Cuisine,BOSTON,1.526315789,1.714285714,1.944444444,1.846153846,,1.754385965
RABIA'S RESTAURANT,BOSTON,1.407407407,2,1.75,2.090909091,,1.753846154
Thinking Cup L L C,BOSTON,2,1.625,1.714285714,2,1,1.75
Starbucks Coffee Company,SOUTH BOSTON,1,3,1,1,,1.75
South End Formaggio,BOSTON,3,3,1,0,,1.75
The Paramount Cafe @Emerson,BOSTON,,,,2,0,1.75
Northeastern Univ/Curry Center,BOSTON,1.333333333,1.75,1.857142857,2.142857143,,1.75
R & R Food Market,BOSTON,,0,1,3,,1.75
Rice Burg Inc.,BOSTON,0,1.615384615,2.111111111,1.548387097,,1.75
DELTA SKY CLUB TERMINAL A SATELLITE,EAST BOSTON,0,0,2,3,,1.75
Flik @ Fidelity Investments,BOSTON,1,0,0,2,,1.75
Appleton Farms (TTOR),BOSTON,1,0,0,3,,1.75
Cunard Tavern,EAST BOSTON,,,1,0,3,1.75
Thinking Cup Newbury,BOSTON,1.767857143,1.8,1.514285714,2.111111111,1.75,1.748148148
Iron Wok (Unit F-3),BOSTON,1.574074074,1.666666667,1.810810811,1.923076923,,1.746192893
Dragon Chef East,ROSLINDALE,1.923076923,1.666666667,1.4,1.625,1.777777778,1.745762712
Gardner Museum Cafe,BOSTON,1.555555556,2.25,1.428571429,1.857142857,,1.744680851
BRUEGGER'S BAGEL BAKERY,BOSTON,2.095238095,1.666666667,1.8125,1.7,1,1.743589744
The Skating Club of Boston,BRIGHTON,3,0,0,1.444444444,,1.740740741
PASTEUR RESTAURANT I I,BOSTON,1.833333333,1.5,1.571428571,2.230769231,1,1.740740741
CAUSEWAY CAFE,BOSTON,0,0.909090909,1.666666667,2.333333333,1.333333333,1.740740741
Caffe Lil Italy,BOSTON,1.567567568,2.157894737,1,1.875,,1.74025974
Panza,BOSTON,1,1.5,1.666666667,1.875,3,1.74
Java City @ Simmons College,BOSTON,1.666666667,2,1.777777778,2,1,1.739130435
Boston Kitchen,BOSTON,0,1.666666667,2,1.333333333,1,1.739130435
Currito Burrito,EAST BOSTON,1.384615385,1.736842105,1.785714286,1.857142857,,1.738317757
THEO'S COZY CORNER RESTAURANT,BOSTON,1.388888889,1.52173913,2.142857143,2.6,2.5,1.738095238
